Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Type d'événement;Date de début;Date de fin;Mesures de gestion
2024;Auvergne-Rhône-Alpes;001;FRK2101204D001631;Saison balnéaire;05/07/2024;25/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101229D001650;Saison balnéaire;01/06/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101239D001320;Saison balnéaire;03/05/2024;15/09/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101269D001660;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101269D001661;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101302D001670;Saison balnéaire;14/06/2024;13/09/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101304D001130;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101305D001210;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101314D001140;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101378D001180;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101403D001328;Saison balnéaire;06/07/2024;24/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101407D001685;Saison balnéaire;29/06/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101426D001690;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;001;FRK2101452D001700;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207011D007355;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207012D007560;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207023D007085;Interdiction sanitaire;09/07/2024;10/07/2024;Interdiction temporaire de la baignade en raison d'une analyse d'auto-surveillance mettant en évidence une contamination de l'eau par des matières fécales.
2024;Auvergne-Rhône-Alpes;007;FRK2207023D007085;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207031D007275;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207031D007280;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207050D007260;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207058D007456;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207061D007092;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207064D007432;Interdiction sanitaire;12/07/2024;16/07/2024;Fermeture préventive de la baignade en raison des fortes pluies ayant conduit à une augmentation du niveau de la rivière et à une forte turbidité de l'eau.
2024;Auvergne-Rhône-Alpes;007;FRK2207064D007432;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207064D007432;Interdiction non sanitaire;01/07/2024;11/07/2024;Travaux de curage et d'aménagement en cours.
2024;Auvergne-Rhône-Alpes;007;FRK2207071D007910;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207079D007605;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207080D007405;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207082D007505;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207096D007540;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207107D007030;Interdiction sanitaire;01/07/2024;02/07/2024;Fermeture préventive de la baignade en raison des mauvaises conditions météorologiques susceptibles de dégrader la qualité de l'eau.
2024;Auvergne-Rhône-Alpes;007;FRK2207107D007030;Interdiction sanitaire;03/07/2024;10/07/2024;Fermeture de la baignade en raison de la confirmation de la contamination de l'eau par des matières fécales.
2024;Auvergne-Rhône-Alpes;007;FRK2207107D007030;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207110D007220;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207114D007602;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207115D007235;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207115D007236;Interdiction sanitaire;12/06/2024;31/12/2024;"Site classé de qualité """"""""""""""""""""""""""""""""insuffisante"""""""""""""""""""""""""""""""" durant 8 années consécutives. Baignade interdite par arrêté préfectoral N°07-2024-06-12-00032."
2024;Auvergne-Rhône-Alpes;007;FRK2207115D007236;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207119D007905;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207123D007501;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207126D007330;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207127D007028;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207129D007610;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207146D007755;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207167D007445;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207189D007001;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207192D007601;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207199D007004;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207201D007100;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207201D007123;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207237D007455;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207247D007791;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207259D007180;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207262D007001;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207267D007545;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207268D007170;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207268D007175;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207269D007502;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207304D007851;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207306D007789;Interdiction sanitaire;01/07/2024;05/07/2024;Fermeture préventive en raison des mauvaises conditions météorologiques susceptibles de dégrader la qualité de l'eau.
2024;Auvergne-Rhône-Alpes;007;FRK2207306D007789;Interdiction sanitaire;08/07/2024;11/07/2024;Fermeture préventive de la baignade en raison de la turbidité de l'eau qui pourrait conduire à une dégradation de la qualité de l'eau.
2024;Auvergne-Rhône-Alpes;007;FRK2207306D007789;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207315D007342;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207322D007010;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207330D007145;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207330D007150;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207330D007151;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207334D007272;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207338D007915;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;007;FRK2207348D007070;Interdiction sanitaire;11/07/2024;17/07/2024;Non-conformité bactériologique / contamination de l’eau par des matières fécales
2024;Auvergne-Rhône-Alpes;007;FRK2207348D007070;Interdiction sanitaire;22/07/2024;23/07/2024;Forte pluie du 21/07
2024;Auvergne-Rhône-Alpes;007;FRK2207348D007070;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326035D026370;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326037D026940;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326063D026715;Saison balnéaire;29/06/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326086D026960;Saison balnéaire;25/05/2024;15/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326113D026217;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326113D026219;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326113D026268;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326167D026210;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326183D026255;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326192D026520;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326198D026970;Saison balnéaire;29/06/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326215D026900;Saison balnéaire;29/06/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326235D026920;Saison balnéaire;15/06/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326289D026240;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326289D026245;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326295D026990;Saison balnéaire;21/06/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326296D026347;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326299D026267;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326301D026910;Saison balnéaire;01/06/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326301D026915;Saison balnéaire;01/06/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326344D026415;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;026;FRK2326368D026230;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438006D038300;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438082D038001;Interdiction sanitaire;12/08/2024;16/08/2024;Présence de Cyanobactéries. Site fermé dans l'attente d'un retour à la conformité.
2024;Auvergne-Rhône-Alpes;038;FRK2438082D038001;Saison balnéaire;15/06/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438082D038001;Prolifération de cyanobactéries;12/08/2024;16/08/2024;Pollution aux cyanobactéries (anatoxine). Interdiction jusqu'à un retour à la conformité. Origine non déterminée.
2024;Auvergne-Rhône-Alpes;038;FRK2438106D038031;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438128D038111;Saison balnéaire;07/07/2024;25/08/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438203D038030;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438231D038400;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438231D038400;Interdiction non sanitaire;01/01/2024;31/12/2024;Baignade non réouverte depuis fermeture COVID. Projet de réaménagement toujours en cours. Pas de contrôle sanitaire.
2024;Auvergne-Rhône-Alpes;038;FRK2438256D038005;Saison balnéaire;04/05/2024;14/09/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438292D038002;Saison balnéaire;22/06/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438292D038003;Saison balnéaire;01/06/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438304D038004;Interdiction sanitaire;08/07/2024;11/07/2024;Interdiction de baignade par arrêté municipal du 08/07 au 11/07/24 pour pollution bactériologique.
2024;Auvergne-Rhône-Alpes;038;FRK2438304D038004;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438314D038240;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438343D038080;Saison balnéaire;01/06/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438347D038090;Interdiction sanitaire;14/08/2024;21/08/2024;Présence de Cyanobactéries. Site fermé dans l'attente d'un retour à la conformité.
2024;Auvergne-Rhône-Alpes;038;FRK2438347D038090;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438347D038090;Prolifération de cyanobactéries;12/08/2024;19/08/2024;Présence de cyanotoxines (anatoxine). Interdiction de baignade par arrêté municipal du 14/08/24 au 22/08/24.
2024;Auvergne-Rhône-Alpes;038;FRK2438449D038120;Saison balnéaire;06/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438453D038270;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438462D038040;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438503D038060;Saison balnéaire;01/06/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438518D038160;Saison balnéaire;01/06/2024;15/09/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438532D038170;Saison balnéaire;29/06/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;038;FRK2438538D038180;Interdiction sanitaire;23/07/2024;29/07/2024;Interdiction de baignade par arrêté municipal du 23/07 au 29/07/24 pour pollution bactériologique.
2024;Auvergne-Rhône-Alpes;038;FRK2438538D038180;Saison balnéaire;22/05/2024;15/09/2024;
2024;Auvergne-Rhône-Alpes;042;FRK2542159D042020;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;042;FRK2542204D042030;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;042;FRK2542204D042030;Interdiction non sanitaire;01/01/2024;31/12/2024;fermeture du site pour les saisons 2020, 2021, 2022, 2023, 2024 arrêt du contrôle sanitaire depuis la saison 2020 - Prévision de travaux pour améliorer la situation suite au déclassement en insuffisant en 2019 et à la présence de cyanobactéries
2024;Auvergne-Rhône-Alpes;042;FRK2542204D042030;Changement de qualité d'eau;01/01/2024;31/12/9999;arrêt du contrôle sanitaire pour la saison 2020 en raison de la mise à jour du profil et de travaux prévus pour améliorer la situation suite au déclassement en insuffisant en 2019 et à la présence importantes de cyanobactéries
2024;Auvergne-Rhône-Alpes;042;FRK2542218D042061;Interdiction sanitaire;11/07/2024;01/09/2024;Présence de toxines de cyanobactéries. Il existe un risque pour la santé des baigneurs. L'ARS préconise d'interdire la baignade, de restreindre les activités nautiques entrainant un risque d'ingestion d'eau et de ne pas consommer le poisson.
2024;Auvergne-Rhône-Alpes;042;FRK2542218D042061;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;042;FRK2542218D042061;Prolifération de cyanobactéries;06/07/2024;01/09/2024;Traitement aux ultrasons. Présence de toxines en quantité supérieure au seuil d'alerte. Interdiction de baignade. Traitement aux ultraons.
2024;Auvergne-Rhône-Alpes;042;FRK2542268D042045;Interdiction sanitaire;26/07/2024;31/08/2024;Présence de toxines de cyanobactéries (microcystine) en quantité supérieure au seuil d'alerte.
2024;Auvergne-Rhône-Alpes;042;FRK2542268D042045;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;042;FRK2542268D042045;Prolifération de cyanobactéries;22/07/2024;31/08/2024;Toxines de cyanobactéries > seuil d'alerte. Interdiction de baignade
2024;Auvergne-Rhône-Alpes;042;FRK2542270D042050;Interdiction sanitaire;11/07/2024;15/07/2024;Présence de toxines de cyanobactéries. Il existe un risque pour la santé des baigneurs. L'ARS préconise d'interdire la baignade, de restreindre les activités nautiques entrainant un risque d'ingestion d'eau et de ne pas consommer le poisson.
2024;Auvergne-Rhône-Alpes;042;FRK2542270D042050;Interdiction sanitaire;30/07/2024;31/08/2024;Présence de toxines de cyanobactérie en quantité supérieur au seuil d'alerte (microcystine à 1.98 µg/l)
2024;Auvergne-Rhône-Alpes;042;FRK2542270D042050;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;042;FRK2542270D042050;Prolifération de cyanobactéries;11/07/2024;15/07/2024;toxines de cyanobactéries> seuil. Interdiction de baignade et d'activités nautiques avec ingestion d'eau -ne pas consommer poissons
2024;Auvergne-Rhône-Alpes;042;FRK2542270D042050;Prolifération de cyanobactéries;30/07/2024;31/08/2024;toxines de cyanobactéries> seuil. Interdiction de baignade et d'activités nautiques avec ingestion d'eau -ne pas consommer poissons
2024;Auvergne-Rhône-Alpes;042;FRK2542287D042065;Saison balnéaire;01/07/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;042;FRK2542318D042075;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;042;FRK2542332D042081;Interdiction sanitaire;30/07/2024;09/08/2024;Prélèvement du 29/07/24 : Présence de toxines de cyanobactéries en quantité supérieure au seuil d'alerte. Interdiction de baignade et de loisirs à risque d'ingestion d'eau Résultats du prélèvement du 05/08/24 conformes
2024;Auvergne-Rhône-Alpes;042;FRK2542332D042081;Interdiction sanitaire;13/08/2024;01/09/2024;Présence de toxines de cyanobactéries en quantité supérieure au seuil d'alerte. Interdiction de baignade.
2024;Auvergne-Rhône-Alpes;042;FRK2542332D042081;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;042;FRK2542332D042081;Prolifération de cyanobactéries;01/07/2024;01/09/2024;Vulnérabilité cyanobactéries. Traitement aux ultrasons. interdiction baignade et activités nautiques en raison de présence de toxines de cyanobactéries-ne pas consommer poisson
2024;Auvergne-Rhône-Alpes;069;FRK2669009D069070;Saison balnéaire;01/06/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;069;FRK2669064D069044;Interdiction sanitaire;26/07/2024;09/08/2024;Présence de toxines produites par des cyanobactéries (anatoxines) dépassant le seuil d'alerte sanitaire.
2024;Auvergne-Rhône-Alpes;069;FRK2669064D069044;Interdiction sanitaire;14/08/2024;23/08/2024;Présence de toxines produites par des cyanobactéries (anatoxines) dépassant le seuil d'alerte sanitaire.
2024;Auvergne-Rhône-Alpes;069;FRK2669064D069044;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;069;FRK2669064D069044;Prolifération de cyanobactéries;26/07/2024;09/08/2024;interdiction de baignade
2024;Auvergne-Rhône-Alpes;069;FRK2669064D069044;Prolifération de cyanobactéries;14/08/2024;23/08/2024;interdiction de baignade
2024;Auvergne-Rhône-Alpes;069;FRK2669070D069006;Interdiction sanitaire;31/07/2024;02/08/2024;Décision du Maire de Cublize de fermer préventivement la baignade compte tenu de la présence de cyanobactéries toxinogènes en quantité supérieure au seuil d'alerte
2024;Auvergne-Rhône-Alpes;069;FRK2669070D069006;Interdiction sanitaire;07/08/2024;08/08/2024;Décision du Maire de Cublize de fermer préventivement la baignade compte tenu de la présence de cyanobactéries toxinogènes en quantité supérieure au seuil d'alerte
2024;Auvergne-Rhône-Alpes;069;FRK2669070D069006;Interdiction sanitaire;15/08/2024;22/08/2024;Présence de toxines produites par des cyanobactéries (anatoxines) dépassant le seuil d'alerte sanitaire.
2024;Auvergne-Rhône-Alpes;069;FRK2669070D069006;Saison balnéaire;01/06/2024;01/09/2024;
2024;Auvergne-Rhône-Alpes;069;FRK2669070D069006;Prolifération de cyanobactéries;12/08/2024;31/12/2024;<Interdiction de baignade
2024;Auvergne-Rhône-Alpes;069;FRK2669256D069020;Saison balnéaire;25/05/2024;08/09/2024;
2024;Auvergne-Rhône-Alpes;069;FRK2669256D069022;Saison balnéaire;29/06/2024;08/09/2024;
2024;Auvergne-Rhône-Alpes;069;FRK2669256D069023;Saison balnéaire;08/05/2024;08/09/2024;
2024;Auvergne-Rhône-Alpes;069;FRK2669256D069026;Saison balnéaire;01/06/2024;08/09/2024;
2024;Auvergne-Rhône-Alpes;069;FRK2669264D069010;Saison balnéaire;01/07/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;073;FRK2773001D073095;Saison balnéaire;29/06/2024;31/08/2024;
2024;Auvergne-Rhône-Alpes;073;FRK2773001D073100;Saison balnéaire;08/06/2024;31/08/2024;
